,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-F7-8489-01A,0.008,0.0,0.039,0.017,0.016,0.0,0.056,0.048,0.073,0.013,0.028,0.0,0.0,0.016,0.0,0.685,0.685,HNSC,0.753,,0.5228,0.6,0.6751,
TCGA-CV-A6K2-01A,0.0,0.0,0.005,0.008,0.0,0.0,0.002,0.014,0.052,0.001,0.043,0.0,0.0,0.019,0.007,0.846,0.846,HNSC,,,0.4927,0.6,0.6596,
TCGA-HD-8634-01A,0.0,0.0,0.012,0.006,0.003,0.0,0.017,0.027,0.009,0.016,0.0,0.0,0.0,0.021,0.016,0.875,0.875,HNSC,0.8984,,0.667,0.65,0.6435,
TCGA-CN-6994-01A,0.0,0.0,0.023,0.002,0.005,0.0,0.016,0.025,0.163,0.007,0.06,0.0,0.0,0.016,0.0,0.681,0.681,HNSC,0.8127,0.56,0.7775,0.75,0.7647,
TCGA-D6-A4Z9-01A,0.0,0.0,0.014,0.011,0.008,0.0,0.014,0.042,0.044,0.022,0.014,0.0,0.0,0.013,0.013,0.805,0.805,HNSC,0.861,,0.6835,0.95,0.7243,
TCGA-CR-7376-01A,0.01,0.001,0.051,0.027,0.028,0.0,0.032,0.097,0.32,0.025,0.192,0.0,0.0,0.024,0.002,0.192,0.192,HNSC,0.3384,0.16,0.4652,0.6,0.3605,
TCGA-CR-7391-01A,0.01,0.0,0.055,0.002,0.023,0.0,0.054,0.095,0.147,0.035,0.06,0.0,0.0,0.024,0.014,0.481,0.481,HNSC,0.6057,0.17,0.52,0.8,0.4728,
TCGA-T2-A6X2-01A,0.0,0.0,0.009,0.022,0.008,0.0,0.01,0.027,0.075,0.019,0.035,0.0,0.0,0.008,0.002,0.784,0.784,HNSC,0.7893,,0.6957,0.65,0.7244,
TCGA-BA-4074-01A,0.001,0.0,0.023,0.0,0.002,0.0,0.009,0.019,0.153,0.013,0.025,0.0,0.0,0.001,0.012,0.74,0.74,HNSC,0.8022,0.61,0.5195,0.8,0.7216,
TCGA-CN-6022-01A,0.0,0.0,0.032,0.001,0.008,0.0,0.024,0.041,0.252,0.038,0.104,0.0,0.0,0.017,0.002,0.481,0.481,HNSC,0.7005,0.37,0.5225,0.65,0.5588,
TCGA-CN-A6V3-01A,0.013,0.0,0.027,0.033,0.005,0.0,0.015,0.033,0.013,0.014,0.025,0.0,0.0,0.014,0.002,0.807,0.807,HNSC,0.8639,,0.4914,0.95,0.7466,
TCGA-QK-A8Z7-01A,0.005,0.01,0.018,0.0,0.006,0.0,0.008,0.032,0.066,0.014,0.019,0.0,0.0,0.006,0.0,0.817,0.817,HNSC,0.9362,,0.3067,0.7,0.7913,
TCGA-CN-A497-01A,0.007,0.0,0.037,0.006,0.01,0.002,0.021,0.051,0.063,0.021,0.02,0.002,0.0,0.009,0.0,0.75,0.75,HNSC,0.8609,,0.4656,0.8,0.7019,
TCGA-F7-A50G-01A,0.0,0.0,0.026,0.016,0.016,0.0,0.047,0.041,0.034,0.018,0.043,0.0,0.0,0.019,0.001,0.739,0.739,HNSC,0.7799,,0.5958,0.75,0.7116,
TCGA-IQ-A61I-01A,0.018,0.0,0.056,0.018,0.003,0.0,0.021,0.016,0.002,0.014,0.03,0.0,0.0,0.004,0.001,0.815,0.815,HNSC,0.8776,,0.7317,0.9,0.7195,
TCGA-CR-7373-01A,0.002,0.0,0.051,0.022,0.008,0.0,0.014,0.034,0.016,0.023,0.054,0.0,0.0,0.017,0.008,0.749,0.749,HNSC,0.7511,0.61,0.589,0.7,0.7069,
